Year,Team,Name,G,Min,Pts,PPG,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,REB,RPG,AST,APG,STL,BLK,TO,MPPS,OEPM,DEPM
1995,ATL,Steve Smith,80,2856,1446,18.1,494,1143,.432,318,385,.826,140,423,.331,326,4.1,224,2.8,68,17,151,0.7256,0.5378,0.1141
1995,ATL,Mookie Blaylock,81,2893,1268,15.7,455,1123,.405,127,170,.747,231,623,.371,332,4.1,478,5.9,212,17,188,0.735,0.5799,0.1705
1995,ATL,Christian Laettner,30,977,425,14.2,159,325,.489,107,130,.823,0,8,.000,236,7.9,68,2.3,31,28,75,0.2482,0.155,0.0807
1995,ATL,Grant Long,82,3008,1078,13.1,395,838,.471,257,337,.763,31,86,.360,788,9.6,183,2.2,108,34,157,0.7642,0.4039,0.2522
1995,ATL,Andrew Lang,51,1815,657,12.9,281,619,.454,95,118,.805,0,3,.000,334,6.5,62,1.2,35,85,94,0.4611,0.2026,0.1252
1995,ATL,Stacey Augmon,77,2294,976,12.7,362,738,.491,251,317,.792,1,4,.250,304,3.9,137,1.8,106,31,138,0.5828,0.355,0.1275
1995,ATL,Ken Norman,34,770,304,8.9,127,273,.465,17,48,.354,33,84,.393,132,3.9,63,1.9,15,16,46,0.1956,0.1059,0.0443
1995,ATL,Craig Ehlo,79,1758,669,8.5,253,591,.428,81,103,.786,82,221,.371,256,3.2,138,1.7,85,9,104,0.4466,0.243,0.1003
1995,ATL,Alan Henderson,79,1416,503,6.4,192,434,.442,119,200,.595,0,3,.000,356,4.5,51,0.6,44,43,87,0.3598,0.1651,0.1209
1995,ATL,Spud Webb,51,817,300,5.9,104,222,.468,74,87,.851,18,57,.316,60,1.2,140,2.7,27,2,51,0.2076,0.1621,0.0262
1995,ATL,Sean Rooks,16,215,93,5.8,32,58,.552,29,43,.674,0,1,.000,51,3.2,9,0.6,4,14,31,0.0546,0.0283,0.0189
1995,ATL,Reggie Jordan,24,247,94,3.9,36,71,.507,22,38,.579,0,0,.000,52,2.2,29,1.2,12,7,19,0.0628,0.0413,0.02
