Year,Team,Swins,Slosses,Pwins,Plosses
1995,ATL,46,36,4,5
1995,BOS,33,49,0,0
1995,CHA,41,41,0,0
1995,CHI,72,10,15,3
1995,CLE,47,35,0,3
1995,DAL,26,56,0,0
1995,DEN,35,47,0,0
1995,DET,46,36,0,3
1995,GSW,36,46,0,0
1995,HOU,48,34,3,5
1995,IND,52,30,2,3
1995,LAC,29,53,0,0
1995,LAL,53,29,1,3
1995,MIA,42,40,0,3
1995,MIL,25,57,0,0
1995,MIN,26,56,0,0
1995,NJN,30,52,0,0
1995,NYK,47,35,4,4
1995,ORL,60,22,7,5
1995,PHI,18,64,0,0
1995,PHO,41,41,1,3
1995,POR,44,38,2,3
1995,SAC,39,43,1,3
1995,SAS,59,23,5,5
1995,SEA,64,18,13,8
1995,TOR,21,61,0,0
1995,UTA,55,27,10,8
1995,VAN,15,67,0,0
1995,WA1,39,43,0,0
1996,ATL,56,26,4,5
1996,BOS,15,67,0,0
1996,CHA,54,28,0,3
1996,CHI,69,13,15,4
1996,CLE,42,40,0,0
1996,DAL,24,58,0,0
1996,DEN,21,61,0,0
1996,DET,54,28,2,3
1996,GSW,30,52,0,0
1996,HOU,57,25,9,7
1996,IND,39,43,0,0
1996,LAC,36,46,0,3
1996,LAL,56,26,4,5
1996,MIA,61,21,8,9
1996,MIL,33,49,0,0
1996,MIN,40,42,0,3
1996,NJN,26,56,0,0
1996,NYK,57,25,6,4
1996,ORL,45,37,3,2
1996,PHI,22,60,0,0
1996,PHO,40,42,2,3
1996,POR,49,33,1,3
1996,SAC,34,48,0,0
1996,SAS,20,62,0,0
1996,SEA,57,25,6,6
1996,TOR,30,52,0,0
1996,UTA,64,18,13,7
1996,VAN,14,68,0,0
1996,WA1,44,38,0,3
1997,ATL,50,32,1,3
1997,BOS,36,46,0,0
1997,CHA,51,31,4,5
1997,CHI,62,20,15,6
1997,CLE,47,35,1,3
1997,DAL,20,62,0,0
1997,DEN,11,71,0,0
1997,DET,37,45,0,0
1997,GSW,19,63,0,0
1997,HOU,41,41,2,3
1997,IND,58,24,10,6
1997,LAC,17,65,0,0
1997,LAL,61,21,7,6
1997,MIA,55,27,2,3
1997,MIL,36,46,0,0
1997,MIN,45,37,2,3
1997,NJN,43,39,0,3
1997,NYK,43,39,4,6
1997,ORL,41,41,0,0
1997,PHI,31,51,0,0
1997,PHO,56,26,1,3
1997,POR,46,36,1,3
1997,SAC,27,55,0,0
1997,SAS,56,26,4,5
1997,SEA,61,21,4,6
1997,TOR,16,66,0,0
1997,UTA,62,20,13,7
1997,VAN,19,63,0,0
1997,WAS,42,40,0,0
1998,ATL,31,19,3,6
1998,BOS,19,31,0,0
1998,CHA,26,24,0,0
1998,CHI,13,37,0,0
1998,CLE,22,28,0,0
1998,DAL,19,31,0,0
1998,DEN,14,36,0,0
1998,DET,29,21,2,3
1998,GSW,21,29,0,0
1998,HOU,31,19,1,3
1998,IND,33,17,9,4
1998,LAC,9,41,0,0
1998,LAL,31,19,3,5
1998,MIA,33,17,2,3
1998,MIL,28,22,0,3
1998,MIN,25,25,1,3
1998,NJN,16,34,0,0
1998,NYK,27,23,12,8
1998,ORL,33,17,1,3
1998,PHI,28,22,3,5
1998,PHO,27,23,0,3
1998,POR,35,15,7,6
1998,SAC,27,23,2,3
1998,SAS,37,13,15,2
1998,SEA,25,25,0,0
